participant,distance_setting,number_of_objects,trial_number,target_present,ran,order,response_yes,yes_no_correct,hit,false_alarm,rt_sec,rt_where_sec,response_where_x,response_where_y,target_pos_x,target_pos_y,click_distance_deg,distance_shapecomp,background_shape_idx,proto_object_idx,date_str
SR,low,3,30,False,1.0,29.0,0.0,1.0,0,0,0.5014539,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,31,True,1.0,30.0,1.0,1.0,1,0,0.86649895,0.3679359,7.431062812311023,-7.059509671695472,6.766305138656945,-8.943882754904688,1.9981904,0.5488704442977905,0.0,30.0,2023-06-26_15h38.26.579
SR,low,3,32,False,1.0,31.0,0.0,1.0,0,0,0.4393139,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,33,True,1.0,32.0,1.0,1.0,1,0,0.62641,0.5595758,0.7431062812311022,9.749554409752063,1.553647538783146,10.732264842829062,1.2738513,0.6652977466583252,0.0,50.0,2023-06-26_15h38.26.579
SR,low,3,34,False,1.0,33.0,0.0,1.0,0,0,0.6553621,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,35,False,1.0,34.0,0.0,1.0,0,0,0.3393259,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,36,False,1.0,35.0,0.0,1.0,0,0,0.30255318,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,37,False,1.0,36.0,0.0,1.0,0,0,0.23628712,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,38,False,1.0,37.0,0.0,1.0,0,0,0.26369905,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,39,False,1.0,38.0,0.0,1.0,0,0,0.23136497,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,40,True,1.0,39.0,1.0,1.0,1,0,0.79516816,0.383492,-7.208130927941692,-3.2548055117922283,8.980591745105444,-7.318209466357572,16.690895,0.5986795425415039,0.0,63.0,2023-06-26_15h38.26.579
SR,low,3,41,False,1.0,40.0,0.0,1.0,0,0,0.31097794,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,42,True,1.0,41.0,1.0,1.0,1,0,0.48621702,0.423815,-9.392863394761132,1.9766627080747323,-11.314720931719632,2.6543786259655424,2.0378506,0.4744373261928558,0.0,41.0,2023-06-26_15h38.26.579
SR,low,3,43,False,1.0,42.0,1.0,0.0,0,1,0.865715,0.41574907,-8.35251460103759,1.3227291805913624,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,44,True,1.0,43.0,1.0,1.0,1,0,0.716418,0.351902,6.0637472548457945,-2.7643553661797005,5.913687629908495,-4.3981358598304485,1.6406574,0.5090845227241516,0.0,54.0,2023-06-26_15h38.26.579
SR,low,3,45,False,1.0,44.0,1.0,0.0,0,1,1.031888,0.32768297,5.424675852987047,-4.934225707374519,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,46,False,1.0,45.0,0.0,1.0,0,0,0.25435996,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
