,participant,distance_setting,number_of_objects,target_present,response_yes,yes_no_correct,target_pos_x,response_where_x,target_pos_y,response_where_y,hit,false_alarm,distance,angle,distance_delta
40,SR,low,3,False,0.0,1.0,,,,,0,0,,,
41,SR,low,3,True,1.0,1.0,-11.314720931719632,-9.392863394761132,2.6543786259655424,1.9766627080747323,1,0,11.621903271524724,2.911164392378712,2.0378506465702473
42,SR,low,3,False,1.0,0.0,,-8.35251460103759,,1.3227291805913624,0,1,,,
43,SR,low,3,True,1.0,1.0,5.913687629908495,6.0637472548457945,-4.3981358598304485,-2.7643553661797005,1,0,7.3698914799106285,-0.6394706599620154,1.640657365957318
44,SR,low,3,False,1.0,0.0,,5.424675852987047,,-4.934225707374519,0,1,,,
45,SR,low,3,False,0.0,1.0,,,,,0,0,,,
46,SR,low,3,False,0.0,1.0,,,,,0,0,,,
47,SR,low,3,False,1.0,0.0,,-4.741018074254433,,-8.78351624415163,0,1,,,
48,SR,low,3,True,0.0,0.0,-4.381094427158183,,2.9513629288225007,,0,0,5.282473995894747,2.5487649332273796,
49,SR,low,3,True,0.0,0.0,10.730945852008634,,-2.916003883270022,,0,0,11.120084420812063,-0.26533087030285724,
50,SR,low,3,False,0.0,1.0,,,,,0,0,,,
51,SR,low,3,False,0.0,1.0,,,,,0,0,,,
52,SR,low,3,False,0.0,1.0,,,,,0,0,,,
53,SR,low,3,True,1.0,1.0,8.220183227891553,5.112571214869983,3.796723800581701,1.605109567459181,1,0,9.054641015413761,0.432687853294366,3.8026865990114396
54,SR,low,3,True,1.0,1.0,5.572172972848286,2.5860098586842364,2.7777185164380547,6.004298752347307,1,0,6.226141003535314,0.4624454933263606,4.396361013742403
55,SR,low,3,False,0.0,1.0,,,,,0,0,,,
56,SR,low,3,False,0.0,1.0,,,,,0,0,,,
57,SR,low,3,False,0.0,1.0,,,,,0,0,,,
58,SR,low,3,True,1.0,1.0,3.46204731203452,0.2526561356185747,-9.90165931505988,-6.331265516088991,1,0,10.48945321655412,-1.234439452932315,4.800823221384673
59,SR,low,3,True,1.0,1.0,-8.408043799881256,-3.879014788026354,-7.105283573064664,6.762267159203032,1,0,11.008190368738369,-2.4399747576850217,14.588388091295133
60,SR,low,3,False,0.0,1.0,,,,,0,0,,,
